l2_error,loss_interior,_timestamp,loss_boundary,step,loss,time,_runtime,_step
1.5955122172853817,123.25134859863059,1744418227.7735426,1.5480622822617889,0,124.79941088089237,2.503514528274536,5.675443649291992,0
1.5987942223918705,123.01450249449452,1744418227.9975464,1.598335412171707,1,124.61283790666623,2.9818713665008545,5.899447441101074,1
1.5396550642294762,117.48323760689635,1744418228.3254278,1.6918168058630523,2,119.17505441275941,3.3075144290924072,6.227328777313232,2
1.9787789434658811,115.86203172570364,1744418228.7212157,1.3616188888386418,3,117.2236506145423,3.7052602767944336,6.623116731643677,3
4.302232821719879,104.745008269111,1744418229.4642394,2.2135631660560677,4,106.95857143516706,4.448077440261841,7.366140365600586,4
2.2387856139761304,96.67779365701216,1744418230.543634,8.867433923741912,5,105.54522758075407,5.527458429336548,8.445534944534302,5
0.8208234749697544,82.5428320831089,1744418231.4116838,3.114584353680698,6,85.6574164367896,6.395432949066162,9.313584804534912,6
0.8314819089301142,13.843238997722963,1744418232.7956724,0.48234445065207504,7,14.325583448375038,7.779421329498291,10.69757342338562,7
0.12027794053819954,2.3862051690823494,1744418234.0293036,0.417716248711437,8,2.803921417793786,9.013073921203613,11.931204557418823,8
0.07112234619355397,0.30729587371598666,1744418235.2924373,0.013876492758753009,9,0.3211723664747397,10.276196479797363,13.194338321685791,9
0.050209319849588,0.036872846516383236,1744418236.854044,0.0045612290921085335,10,0.04143407560849177,11.837802171707153,14.755944967269897,10
0.034712107599741124,0.021207880667242964,1744418238.6356995,0.002384289329465104,11,0.023592169996708066,13.619466781616211,16.53760051727295,11
0.02550757464964371,0.009502260514184246,1744418241.0187254,0.0012026810029067134,12,0.01070494151709096,16.002506732940674,18.920626401901245,12
0.020715243517657817,0.006581090717691246,1744418243.4904742,0.0006027082747300967,13,0.007183798992421343,18.47425889968872,21.392375230789185,13
0.02145602758005822,0.0047033602973778526,1744418246.4648015,0.0004538120375644865,14,0.005157172334942339,21.44835591316223,24.366702556610107,14
0.025128761200283966,0.0035960398786706476,1744418249.5002768,0.0005029930277431274,15,0.004099032906413775,24.484038591384888,27.402177810668945,15
0.017499137341522072,0.0037445547157847264,1744418252.463212,0.0004180589704272054,16,0.004162613686211932,27.44699215888977,30.365113019943237,16
0.013890340797166714,0.0025808582402226366,1744418254.5706384,0.00028575125360818826,17,0.0028666094938308248,29.55439019203186,32.47253942489624,17
0.012408738524339758,0.00213138247492375,1744418258.920479,0.00015475778949818175,18,0.0022861402644219317,33.90426826477051,36.82238006591797,18
0.01290081300986478,0.002034044791873571,1744418262.1490169,0.00014472851535259784,19,0.002178773307226169,37.13266396522522,40.050917863845825,19
0.013340644589219497,0.0015639483845397344,1744418264.8300533,0.000113988765728255,20,0.0016779371502679895,39.81370425224304,42.73195433616638,20
0.008453631187834187,0.0013088159451622244,1744418271.1166177,0.00012151766194609216,21,0.0014303336071083165,46.100340604782104,49.018518686294556,21
0.008314090100423974,0.0008546338787660062,1744418272.557636,7.2451202213223e-05,22,0.0009270850809792292,47.541412353515625,50.45953702926636,22
0.008761017027938668,0.0008483709228210267,1744418278.9761627,6.39838841999587e-05,23,0.0009123548070209854,53.95992565155029,56.878063678741455,23
0.00835343104117953,0.0006990279288964573,1744418281.184487,7.068987019889824e-05,24,0.0007697177990953556,56.168201208114624,59.0863881111145,24
0.00797328492748193,0.0005992926536278283,1744418287.6804354,6.767397949841228e-05,25,0.0006669666331262405,62.66398286819458,65.58233642578125,25
0.008296689280474086,0.00054976657773968,1744418289.9438443,5.504811096868785e-05,26,0.0006048146887083679,64.92763996124268,67.8457453250885,26
0.008151839832179816,0.0005208729267677125,1744418291.6797552,5.479881497372849e-05,27,0.000575671741741441,66.6635537147522,69.58165621757507,27
0.007998645751315453,0.0005021963217654895,1744418293.2922833,5.65224959242599e-05,28,0.0005587188176897494,68.27608966827393,71.19418430328369,28
0.006050864313445318,0.00048555587699374594,1744418299.611805,5.978005785610223e-05,29,0.0005453359348498481,74.59554839134216,77.51370596885681,29
0.004866343234943036,0.0005269311725924172,1744418301.019251,3.278369908635533e-05,30,0.0005597148716787725,76.00302481651306,78.92115211486816,30
0.004139000388670009,0.0004915688653114913,1744418307.313575,2.2516120733374994e-05,31,0.0005140849860448662,82.29730439186096,85.21547603607178,31
0.003800883002007783,0.0004319981931424004,1744418309.0502636,2.185773597930086e-05,32,0.00045385592912170126,84.0337963104248,86.95216464996338,32
0.004985594446768438,0.0004347657717918707,1744418313.6740193,1.664815055712345e-05,33,0.0004514139223489941,88.65772795677185,91.57592034339905,33
0.006522171089649108,0.00039340092379504347,1744418315.3953664,2.3723967788018e-05,34,0.00041712489158306145,90.37913250923157,93.2972674369812,34
0.006409260638604527,0.00037689103071190385,1744418317.2772,2.999747993477997e-05,35,0.00040688851064668384,92.26097369194031,95.17910099029541,35
0.009316811550939486,0.0003297352304137212,1744418323.6493113,3.2479722452352315e-05,36,0.0003622149528660735,98.63304877281189,101.55121231079102,36
0.010244644178647335,0.0002707730137399576,1744418325.4704094,5.066822639275402e-05,37,0.0003214412401327116,100.45416355133057,103.37231040000916,37
0.011223924873160478,0.00023618533241742066,1744418331.9016085,5.7754034031679875e-05,38,0.00029393936644910056,106.8853862285614,109.80350947380066,38
0.009981434674956975,0.00018205716427448278,1744418336.9824135,6.950493767685976e-05,39,0.00025156210195134254,111.96590042114258,114.88431453704834,39
0.00946582442876588,0.00014899853497886374,1744418338.8237522,4.771174321530779e-05,40,0.00019671027819417153,113.80746984481812,116.7256531715393,40
0.007223329833248063,9.889131309430016e-05,1744418347.706412,3.5477866673666785e-05,42,0.00013436917976796694,122.69017243385315,125.60831308364868,41
0.005328070147724885,6.333680576757519e-05,1744418364.2582924,2.1376534502856912e-05,46,8.47133402704321e-05,139.24201035499573,142.16019344329834,42
0.0039509024145305514,3.950928374435362e-05,1744418386.0735044,1.1694757893564722e-05,50,5.120404163791834e-05,161.05704617500305,163.97540545463562,43
0.003211837560186135,2.1419017057429463e-05,1744418414.3635538,5.447919549945026e-06,55,2.686693660737449e-05,189.3470423221588,192.26545476913452,44
0.002762008660264823,1.1974146413739491e-05,1744418444.8302727,6.021276557712426e-06,61,1.7995422971451917e-05,219.80230736732483,222.73217368125916,45
0.002558637875957887,7.893341514023115e-06,1744418485.1953146,4.778515086494373e-06,67,1.2671856600517489e-05,260.1787197589874,263.0972156524658,46
0.001730171886354989,4.067767296339709e-06,1744418525.8386354,2.7492421789023313e-06,73,6.81700947524204e-06,300.82209491729736,303.7405364513397,47
0.0016962815846567852,3.1566620469389504e-06,1744418580.7851765,1.8654329043190594e-06,81,5.022094951258009e-06,355.76864862442017,358.68707752227783,48
0.0010245442258429605,1.741100996779022e-06,1744418635.3928578,1.3635700248111646e-06,89,3.1046710215901866e-06,410.3763954639435,413.2947587966919,49
0.0007085297631681158,8.638508582114593e-07,1744418696.4525423,5.300770185697611e-07,98,1.3939278767812204e-06,471.43600702285767,474.3544433116913,50
0.0005234755092508863,6.536751197078447e-07,1744418758.2537274,3.245087388421047e-07,107,9.781838585499494e-07,533.2372047901154,536.1556284427643,51
0.00039355408348962825,4.771723566488079e-07,1744418833.625845,2.517819684922702e-07,118,7.289543251410781e-07,608.6088333129883,611.527745962143,52
0.00035591623433503793,3.41399095746724e-07,1744418915.529971,1.855355127844905e-07,130,5.269346085312145e-07,690.5132782459259,693.4318718910217,53
0.0003228974380027529,2.4825140811144157e-07,1744419004.2492018,1.4761996113735366e-07,143,3.9587136924879523e-07,779.2326347827911,782.1511027812958,54
0.0002709324032560546,2.1330079773676082e-07,1744419099.8246102,9.902289129013823e-08,157,3.1232368902689903e-07,874.808078289032,877.7265112400055,55
0.0002451689849075531,1.8582360788597517e-07,1744419201.9993932,9.882882896060094e-08,172,2.846524368465761e-07,976.9828019142151,979.9012942314148,56
0.00023568356818223134,1.5394360128608392e-07,1744419324.427172,7.30918676887807e-08,190,2.2703546897486462e-07,1099.4101474285126,1102.3290729522705,57
0.00020994380617926758,1.409937109802422e-07,1744419446.9069228,6.148757182087854e-08,208,2.0248128280112073e-07,1221.890275478363,1224.8088238239288,58
0.00020503020454112046,1.2317356919428489e-07,1744419588.9691973,5.3895152904538937e-08,229,1.7706872209882382e-07,1363.9527254104614,1366.871098279953,59
0.00018467538652521706,1.0077854300126288e-07,1744419745.1519845,4.74070722413467e-08,252,1.4818561524260957e-07,1520.135442018509,1523.0538854599,60
0.00017579530204518763,1.0026766505181541e-07,1744419916.0818715,3.9643816232216916e-08,277,1.3991148128403234e-07,1691.0653100013733,1693.9837725162506,61
0.00016258903350211524,8.93200419448429e-08,1744420107.4772842,3.879908636595473e-08,305,1.2811912831079764e-07,1882.4607198238373,1885.3791851997375,62
0.00016097739573248397,7.968099927312423e-08,1744420312.9124231,3.2777386104226114e-08,335,1.1245838537735035e-07,2087.8957974910736,2090.8143241405487,63
0.00014425219229784124,7.209154180018935e-08,1744420543.8895173,3.0016146921379745e-08,369,1.0210768872156909e-07,2318.8729617595673,2321.79141831398,64
0.00013591474826133866,6.400901282660463e-08,1744420797.3281147,2.779756786108259e-08,406,9.180658068768722e-08,2572.311529636383,2575.2300157546997,65
0.00012734071085677818,5.832832947942402e-08,1744421070.8544223,2.599661261700174e-08,446,8.432494209642576e-08,2845.8378562927246,2848.756323337555,66
0.00012342073569640775,5.071168240349911e-08,1744421378.598282,2.080275873050781e-08,491,7.151444113400691e-08,3153.581694126129,3156.5001831054688,67
0.00010696261597161326,5.0795841991104926e-08,1744421713.3284075,2.2988534042148047e-08,540,7.378437603325297e-08,3488.311810016632,3491.230308532715,68
0.0001092964811681486,4.497279207378043e-08,1744422063.5937388,1.569897163311156e-08,594,6.0671763706892e-08,3838.577172279358,3841.4956398010254,69
0.00010485598206670472,3.906772631479267e-08,1744422463.2206504,1.5221760138084875e-08,653,5.428948645287754e-08,4238.204079627991,4241.122551441193,70
9.731299361774065e-05,3.787046144396506e-08,1744422904.4586775,1.349203649877255e-08,718,5.136249794273761e-08,4679.442081451416,4682.360578536987,71
9.065659687377864e-05,3.230739146246233e-08,1744423381.5133018,1.214767775092645e-08,790,4.445506921338878e-08,5156.496799468994,5159.415202856064,72
8.902787304327321e-05,3.137113673648788e-08,1744423884.593692,1.1462533052385513e-08,869,4.28336697888734e-08,5659.577193975449,5662.495593070984,73
8.257151432823535e-05,2.7302425600136308e-08,1744424438.1979985,8.719484836902227e-09,956,3.6021910437038535e-08,6213.18154335022,6216.099899530411,74
8.141121503374379e-05,2.4535656525539847e-08,1744425050.5338457,8.649526840674834e-09,1052,3.318518336621468e-08,6825.5173971652985,6828.435746669769,75
7.664296430654125e-05,2.540015632920167e-08,1744425228.9885216,7.928370219214002e-09,1080,3.332852654841567e-08,7003.972058296204,7006.890422582626,76
