time,_runtime,loss_interior,_step,l2_error,_timestamp,loss_boundary,loss,step
19.50467276573181,22.326998710632324,10.066191901282938,0,9.28605942460664,1744680932.7504396,1088.7316653859284,1098.7978572872114,0
37.831470012664795,40.3678834438324,9.390601310086987,1,11.111455737214458,1744680950.7913244,81.60613656862802,90.99673787871501,1
55.878501892089844,58.41448211669922,9.846606966348165,2,10.305342815038872,1744680968.837923,58.41051709635648,68.25712406270465,2
73.924640417099,76.45952892303467,8.247683594049015,3,11.519420084786052,1744680986.8829699,55.864923159773355,64.11260675382238,3
91.96426939964294,94.49981427192688,4.314354441735663,4,12.73241759261241,1744681004.9232552,52.21563298903681,56.52998743077248,4
110.00982642173767,112.54474759101868,5.481317092816277,5,12.58622145364685,1744681022.9681885,42.04761983433771,47.528936927153985,5
128.04833722114563,130.58327198028564,9.51946364579168,6,11.037446742839508,1744681041.006713,32.60190991319219,42.12137355898387,6
146.0921506881714,148.62776947021484,15.835883547071333,7,9.65429561428428,1744681059.0512104,20.634039307634634,36.46992285470597,7
164.13313913345337,166.6682424545288,16.275604421875943,8,8.440078965733415,1744681077.0916834,16.752392005035073,33.02799642691102,8
182.17803716659546,184.71295309066772,17.105638992498715,9,7.304133289689324,1744681095.136394,12.909121022266131,30.014760014764846,9
200.20154643058777,202.73739099502563,23.15873496783205,10,5.732170165909756,1744681113.160832,8.915805256424791,32.07454022425684,10
218.2536597251892,220.78853511810303,29.043212062272136,11,5.358930957348347,1744681131.211976,8.171429443935397,37.214641506207535,11
236.30566573143005,238.84120059013367,34.35301508839274,12,5.020136182214416,1744681149.2646415,6.921865711837645,41.274880800230385,12
254.3479883670807,256.88366436958313,44.311843217425036,13,4.3763718439623585,1744681167.3071053,6.132215223853022,50.44405844127806,13
272.40607738494873,274.94200134277344,94.35741238664866,14,4.261632750962303,1744681185.3654423,5.089191526614361,99.44660391326302,14
290.4636092185974,292.9991853237152,50.06178904904332,15,4.246998431060464,1744681203.4226263,4.666383599470653,54.728172648513976,15
308.5259885787964,311.06169271469116,66.97092204623205,16,3.982505893172826,1744681221.4851336,3.8987977981903197,70.86971984442236,16
326.5789005756378,329.1148204803467,57.21351169405782,17,3.7959308512829018,1744681239.5382614,3.9620059565421073,61.17551765059993,17
344.63258028030396,347.16765117645264,40.606860390610414,18,3.586045888920214,1744681257.591092,3.6925055561478457,44.29936594675826,18
362.6897599697113,365.2252287864685,78.68841375275183,19,5.024557015811345,1744681275.6486697,2.6345672812942866,81.32298103404611,19
380.75120186805725,383.2867782115936,40.88030269154416,20,4.089349852703008,1744681293.7102191,7.15825641793005,48.03855910947421,20
398.8092453479767,401.34527564048767,75.4612068261554,21,3.600072945005056,1744681311.7687166,3.7535577084873477,79.21476453464275,21
416.86852288246155,419.4034743309021,198.9389024405675,22,3.231432232269922,1744681329.8269153,3.254492296376031,202.19339473694353,22
434.9159245491028,437.4518437385559,63.87743373198937,23,3.0373004344049996,1744681347.8752847,2.6152404142662036,66.49267414625558,23
452.9801106452942,455.5149984359741,320.10103690865583,24,2.9139169229008615,1744681365.9384394,1.8958735056388112,321.99691041429463,24
471.0311965942383,473.5668067932129,20.342447655422287,25,2.457016750311535,1744681383.9902477,1.7626160961341177,22.105063751556404,25
489.08567786216736,491.6216413974762,13.355955971569365,26,2.380273779000971,1744681402.0450823,1.2256288362040308,14.581584807773396,26
507.13556599617004,509.670458316803,18.217780345213647,27,2.065708001081385,1744681420.0938993,1.5054522513267607,19.72323259654041,27
525.186753988266,527.7222192287445,31.858978890036106,28,1.8233727714018884,1744681438.1456602,1.2499309236465053,33.10890981368261,28
543.2376384735107,545.7726373672485,11.150169707004945,29,1.8363601541726717,1744681456.1960783,0.8702886117296725,12.020458318734617,29
561.2763249874115,563.811598777771,5.987280792088843,30,1.6985352366211492,1744681474.2350397,0.9420779661332027,6.929358758222046,30
579.3223605155945,581.8576543331146,13.37690934049294,31,1.654093316108476,1744681492.2810953,0.7357233717898438,14.112632712282783,31
597.3748111724854,599.9097023010254,5.43676392486716,32,1.5942880245878863,1744681510.3331432,0.8277768902245436,6.264540815091704,32
615.4313333034515,617.9668681621552,2.8036429503180496,33,1.4085577662604667,1744681528.390309,0.8488582132871386,3.652501163605188,33
633.4955883026123,636.0305144786835,2.5724410662121224,34,1.2879426714511406,1744681546.4539554,0.6057478408918343,3.178188907103957,34
651.5489435195923,654.0846157073975,2.7948360553238603,35,1.2112495867264141,1744681564.5080566,0.5335233452327556,3.3283594005566157,35
669.6172506809235,672.1528470516205,1.5900368236816176,36,1.09227823613578,1744681582.576288,0.4693865284447181,2.059423352126336,36
687.6788051128387,690.2151200771332,2.1280348465616905,37,1.0061508411349613,1744681600.638561,0.3334219741926332,2.4614568207543237,37
705.7367146015167,708.2723388671875,1.3409705499655304,38,0.9312358065534557,1744681618.6957798,0.2942220143739662,1.6351925643394967,38
723.7960925102234,726.3316128253937,1.0852358134575322,39,0.8080096608373372,1744681636.7550538,0.2451095360986718,1.3303453495562039,39
741.8521947860718,744.387199640274,0.8627102437460222,40,0.7410179145378781,1744681654.8106406,0.2452637245910146,1.1079739683370369,40
777.9281256198883,780.4633231163025,0.5859291229756717,41,0.6128608303212071,1744681690.886764,0.11554416453934786,0.7014732875150196,42
850.039585351944,852.5749733448029,0.3835341917375604,42,0.43402545043875373,1744681762.9984143,0.07380831260059055,0.457342504338151,46
922.1184260845184,924.6536567211151,0.1764165695217044,43,0.31848364033894316,1744681835.0770977,0.021992804392376112,0.1984093739140805,50
1012.3132581710815,1014.8484637737274,2.036773733162838,44,0.3026839258750096,1744681925.2719047,0.030005001458250927,2.066778734621089,55
1120.514560699463,1123.0498793125153,0.016943206851586217,45,0.21854949301650034,1744682033.4733202,0.01737134816882651,0.034314555020412724,61
1228.7645769119263,1231.3002772331238,0.519095463840382,46,0.30028923997745915,1744682141.7237182,0.020097240977428977,0.5391927048178109,67
1337.017212152481,1339.5528044700623,0.0022237435623882734,47,0.10899880392197263,1744682249.9762454,0.006946319589783011,0.009170063152171285,73
1481.2920019626617,1483.8274970054626,0.00039089425703770734,48,0.06128044544322804,1744682394.250938,0.0016465616981433098,0.0020374559551810173,81
1625.5724864006042,1628.1079058647156,0.01231535804885793,49,0.06445055349618756,1744682538.5313468,0.0010455899190238776,0.013360947967881807,89
1787.9178416728973,1790.453325510025,0.0005289037490558581,50,0.0295341894142655,1744682700.8767664,0.001751172803532457,0.002280076552588315,98
1950.1981208324432,1952.7335031032562,0.0005843621255218309,51,0.024786520907143297,1744682863.156944,0.00015689704770414304,0.000741259173225974,107
2148.580283164978,2151.116137981415,0.00046004471226960083,52,0.01640435174045301,1744683061.539579,0.0009413692538192244,0.0014014139660888253,118
2364.9255497455597,2367.4608268737793,0.00018528208457661743,53,0.010605633508055228,1744683277.8842678,4.167831021867917e-05,0.00022696039479529662,130
2599.3654465675354,2601.902160167694,0.00010395287656070001,54,0.011912729284834875,1744683512.325601,2.8689346185692308e-05,0.00013264222274639233,143
2851.8608014583588,2854.396427631378,0.00022840143529311252,55,0.01076674989651669,1744683764.8198686,0.00012666839660094997,0.0003550698318940625,157
3122.363920211792,3124.899449825287,0.00010076595654549344,56,0.008227881969353932,1744684035.3228908,3.09580494264807e-05,0.00013172400597197414,172
3447.023389816284,3449.5596330165863,7.47198053732018e-05,57,0.016464278643818078,1744684359.983074,0.0002174535971753714,0.0002921734025485732,190
3771.579963207245,3774.115998506546,5.0841418504643704e-05,58,0.00720000565750957,1744684684.5394394,2.9104225157689562e-05,7.994564366233327e-05,208
4150.163618564606,4152.70000910759,3.0325861155619577e-05,59,0.004444319801684731,1744685063.12345,1.0980367623236708e-05,4.1306228778856286e-05,229
4564.983468770981,4567.518847942352,3.8670422814382655e-05,60,0.004400333892168816,1744685477.9422889,9.622673768721463e-06,4.829309658310412e-05,252
5015.8863961696625,5018.4215478897095,0.0001022666632777513,61,0.0071632598118699636,1744685928.8449888,1.2691958957489784e-05,0.00011495862223524108,277
5520.7923848629,5523.327941656113,0.0017920461022396758,62,0.016095268087342386,1744686433.7513826,8.138706108307564e-06,0.0018001848083479834,305
6061.7293066978455,6064.265706062317,9.564629690580273e-05,63,0.006258558049848119,1744686974.689147,1.3785814564409496e-05,0.00010943211147021223,335
6674.638006448746,6677.17475271225,2.094940252786266e-05,64,0.004277273988297542,1744687587.5981936,6.842599482049518e-06,2.779200200991218e-05,369
7017.167119026184,7019.702954053879,2.3082209856037445e-05,65,0.0036576443580827495,1744687930.126395,4.815783690874232e-06,2.7897993546911675e-05,388
